# 2WD PID 循线 · S 弯赛道 · Kp=0.6 Ki=0 Kd=6 · 100 Hz
t,nL,nM,nR,error,u,pwmL,pwmR,state
20.410,0.0000,0.4000,0.3800,48.72,35.69,150,80,TURN_RIGHT
20.420,0.0000,0.4520,0.4120,47.69,22.41,150,104,TURN_RIGHT
20.430,0.0000,0.4440,0.4000,47.39,26.69,150,96,TURN_RIGHT
20.440,0.0000,0.4640,0.3920,45.79,17.88,147,112,TURN_RIGHT
20.450,0.0000,0.4520,0.3800,45.67,26.68,150,96,TURN_RIGHT
20.460,0.0200,0.4640,0.3480,39.42,-13.85,99,150,TURN_RIGHT
20.470,0.0000,0.4760,0.3640,43.33,49.46,150,55,TURN_RIGHT
20.480,0.0000,0.4880,0.3680,42.99,23.74,150,101,TURN_RIGHT
20.490,0.0000,0.5080,0.3440,40.38,8.53,133,129,TURN_RIGHT
20.500,0.0000,0.4920,0.3560,41.98,34.82,150,81,TURN_RIGHT
20.510,0.0040,0.4920,0.3520,41.04,18.96,148,110,TURN_RIGHT
20.520,0.0120,0.5200,0.3200,36.15,-7.63,109,150,TURN_RIGHT
20.530,0.0000,0.5000,0.3280,39.61,44.55,150,64,TURN_RIGHT
20.540,0.0040,0.5000,0.3080,37.44,9.41,134,127,TURN_RIGHT
20.550,0.0040,0.5240,0.3280,37.85,25.18,150,99,TURN_RIGHT
20.560,0.0000,0.5440,0.2960,35.24,5.47,128,134,TURN_RIGHT
20.570,0.0120,0.5400,0.2920,33.18,7.53,131,130,TURN_RIGHT
20.580,0.0000,0.5640,0.2760,32.86,17.81,147,112,TURN_RIGHT
20.590,0.0000,0.5440,0.2920,34.93,33.38,150,84,TURN_RIGHT
20.600,0.0000,0.5640,0.2600,31.55,-1.32,118,146,TURN_RIGHT
20.610,0.0000,0.5640,0.2720,32.54,25.42,150,98,TURN_RIGHT
20.620,0.0000,0.5600,0.2800,33.33,24.78,150,99,TURN_RIGHT
20.630,0.0160,0.5680,0.2760,30.23,-0.47,119,145,TURN_RIGHT
20.640,0.0000,0.5840,0.2560,30.48,19.75,150,108,TURN_RIGHT
20.650,0.0160,0.5720,0.2360,26.70,-6.64,110,150,TURN_RIGHT
20.660,0.0000,0.5840,0.2600,30.81,43.12,150,66,TURN_RIGHT
20.670,0.0120,0.5920,0.2520,28.04,0.21,120,144,TURN_RIGHT
20.680,0.0000,0.6000,0.2320,27.88,15.81,144,116,TURN_RIGHT
20.690,0.0040,0.6080,0.2360,27.36,13.26,140,120,TURN_RIGHT
20.700,0.0040,0.5840,0.2320,27.80,19.36,149,109,TURN_RIGHT
20.710,0.0000,0.6400,0.2240,25.93,4.28,126,136,TURN_RIGHT
20.720,0.0080,0.6400,0.2080,23.36,-1.35,118,146,TURN_RIGHT
20.730,0.0160,0.6440,0.2000,21.40,1.02,122,142,TURN_RIGHT
20.740,0.0160,0.6640,0.2160,22.32,18.95,148,110,TURN_RIGHT
20.750,0.0320,0.6440,0.1960,18.81,-9.80,105,150,TURN_RIGHT
20.760,0.0000,0.6520,0.2120,24.54,49.10,150,56,TURN_RIGHT
20.770,0.0000,0.6480,0.1840,22.12,-1.26,118,146,TURN_RIGHT
20.780,0.0000,0.6520,0.2040,23.83,24.60,150,100,TURN_RIGHT
20.790,0.0200,0.6720,0.1800,18.35,-21.89,87,150,TURN_RIGHT
20.800,0.0000,0.6760,0.2000,22.83,40.59,150,71,TURN_RIGHT
20.810,0.0040,0.6680,0.1720,19.91,-5.61,112,150,TURN_RIGHT
20.820,0.0000,0.6760,0.1760,20.66,16.91,145,114,TURN_RIGHT
20.830,0.0000,0.7040,0.1720,19.63,5.65,128,134,TURN_RIGHT
20.840,0.0120,0.7240,0.1560,16.14,-11.26,103,150,TURN_RIGHT
20.850,0.0000,0.7400,0.1480,16.67,13.14,140,120,TURN_RIGHT
20.860,0.0120,0.7440,0.1520,15.42,1.76,123,141,TURN_RIGHT
20.870,0.0000,0.7280,0.1720,19.11,33.62,150,83,TURN_RIGHT
20.880,0.0000,0.7400,0.1440,16.29,-7.16,109,150,TURN_RIGHT
20.890,0.0000,0.7520,0.1280,14.55,-1.74,117,147,TURN_RIGHT
20.900,0.0000,0.7880,0.1280,13.97,4.95,127,135,TURN_RIGHT
20.910,0.0000,0.8040,0.1240,13.36,4.35,127,136,TURN_RIGHT
20.920,0.0160,0.8000,0.1400,12.97,5.43,128,134,TURN_RIGHT
20.930,0.0120,0.7960,0.1400,13.50,11.29,137,124,TURN_RIGHT
20.940,0.0000,0.8280,0.1080,11.54,-4.86,113,150,TURN_RIGHT
20.950,0.0080,0.8560,0.1080,10.29,-1.33,118,146,TURN_RIGHT
20.960,0.0240,0.8680,0.1040,8.03,-8.72,107,150,STRAIGHT
20.970,0.0000,0.8720,0.1000,10.29,19.71,150,109,TURN_RIGHT
20.980,0.0000,0.8760,0.0880,9.13,-1.48,118,147,STRAIGHT
20.990,0.0000,0.8840,0.0880,9.05,4.98,127,135,STRAIGHT
21.000,0.0040,0.8840,0.0880,8.61,2.48,124,140,STRAIGHT
21.010,0.0000,0.8920,0.1000,10.08,14.89,142,117,TURN_RIGHT
21.020,0.0040,0.9120,0.0600,5.74,-22.62,86,150,STRAIGHT
21.030,0.0000,0.9200,0.0720,7.26,13.48,140,120,STRAIGHT
21.040,0.0160,0.9280,0.0520,3.61,-19.69,90,150,STRAIGHT
21.050,0.0280,0.9680,0.0320,0.39,-19.12,91,150,STRAIGHT
21.060,0.0000,0.9800,0.0800,7.55,47.48,150,59,STRAIGHT
21.070,0.0320,0.9840,0.0440,1.13,-37.81,63,150,STRAIGHT
21.080,0.0360,0.9920,0.0320,-0.38,-9.28,106,150,STRAIGHT
21.090,0.0160,1.0000,0.0440,2.64,19.70,150,109,STRAIGHT
21.100,0.0200,0.9800,0.0120,-0.79,-21.07,88,150,STRAIGHT
21.110,0.0480,1.0000,0.0560,0.72,9.53,134,127,STRAIGHT
21.120,0.0680,0.9960,0.0200,-4.43,-33.57,70,150,STRAIGHT
21.130,0.0880,0.9880,0.0080,-7.38,-22.14,87,150,STRAIGHT
21.140,0.0960,0.9600,0.0120,-7.87,-7.63,109,150,STRAIGHT
21.150,0.1520,0.9400,0.0160,-12.27,-33.82,69,150,TURN_LEFT
21.160,0.1920,0.8760,0.0080,-17.10,-39.22,61,150,TURN_LEFT
21.170,0.2840,0.8520,0.0080,-24.13,-56.63,35,150,TURN_LEFT
21.180,0.3720,0.8120,0.0040,-30.98,-59.69,30,150,TURN_LEFT
21.190,0.4840,0.7600,0.0000,-38.91,-70.93,14,150,TURN_LEFT
21.200,0.5960,0.6840,0.0040,-46.11,-70.86,14,150,TURN_LEFT
21.210,0.6600,0.6560,0.0000,-50.15,-54.37,38,150,TURN_LEFT
21.220,0.7560,0.6080,0.0000,-55.43,-64.89,23,150,TURN_LEFT
21.230,0.8480,0.5480,0.0000,-60.74,-68.37,17,150,TURN_LEFT
21.240,0.9320,0.5200,0.0000,-64.19,-59.17,31,150,TURN_LEFT
21.250,0.9760,0.4800,0.0120,-65.67,-48.28,48,150,TURN_LEFT
21.260,1.0000,0.4280,0.0200,-67.68,-52.68,41,150,TURN_LEFT
21.270,0.9880,0.3720,0.0160,-70.64,-60.14,30,150,TURN_LEFT
21.280,0.9800,0.3400,0.0000,-74.24,-66.16,21,150,TURN_LEFT
21.290,0.9560,0.3080,0.0000,-75.63,-53.72,39,150,TURN_LEFT
21.300,0.9360,0.2600,0.0200,-75.33,-43.37,55,150,TURN_LEFT
21.310,0.8920,0.2200,0.0160,-77.66,-60.58,29,150,TURN_LEFT
21.320,0.8000,0.2000,0.0000,-80.00,-62.04,27,150,TURN_LEFT
21.330,0.7720,0.1680,0.0240,-77.59,-32.12,72,150,TURN_LEFT
21.340,0.6960,0.1320,0.0120,-81.43,-71.87,12,150,TURN_LEFT
21.350,0.6200,0.1000,0.0040,-85.08,-72.98,11,150,TURN_LEFT
21.360,0.5640,0.0840,0.0040,-85.89,-56.37,35,150,TURN_LEFT
21.370,0.5120,0.0760,0.0000,-87.07,-59.36,31,150,TURN_LEFT
21.380,0.4640,0.0520,0.0160,-84.21,-33.34,70,150,TURN_LEFT
21.390,0.4000,0.0480,0.0000,-89.29,-84.02,-6,150,TURN_LEFT
21.400,0.3760,0.0320,0.0000,-92.16,-72.52,11,150,TURN_LEFT
21.410,0.3160,0.0320,0.0000,-90.80,-46.37,50,150,TURN_LEFT
21.420,0.2760,0.0360,0.0000,-88.46,-39.02,61,150,TURN_LEFT
21.430,0.2480,0.0120,0.0000,-95.38,-98.77,-28,150,TURN_LEFT
21.440,0.2160,0.0200,0.0120,-82.26,29.40,150,91,TURN_LEFT
21.450,0.1720,0.0160,0.0200,-73.08,11.24,137,124,TURN_LEFT
21.460,0.1400,0.0200,0.0000,-87.50,-139.04,-89,150,TURN_LEFT
21.470,0.1240,0.0000,0.0000,-80.00,-3.00,71,95,SEARCHING
21.480,0.1120,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
21.490,0.0760,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
21.500,0.0680,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
21.510,0.0400,0.0000,0.0120,-80.00,-48.00,3,150,SEARCHING
21.520,0.0440,0.0120,0.0000,-80.00,-48.00,3,150,SEARCHING
21.530,0.0400,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
21.540,0.0440,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
21.550,0.0200,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
21.560,0.0400,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
21.570,0.0160,0.0080,0.0000,-80.00,-48.00,3,150,SEARCHING
21.580,0.0160,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
21.590,0.0240,0.0040,0.0200,-80.00,-48.00,3,150,SEARCHING
21.600,0.0320,0.0000,0.0200,-80.00,-48.00,3,150,SEARCHING
21.610,0.0080,0.0000,0.0040,-80.00,-48.00,3,150,SEARCHING
21.620,0.0160,0.0000,0.0080,-80.00,-48.00,3,150,SEARCHING
21.630,0.0000,0.0000,0.0160,-80.00,-48.00,3,150,SEARCHING
21.640,0.0160,0.0200,0.0000,-80.00,-48.00,3,150,SEARCHING
21.650,0.0040,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
21.660,0.0040,0.0160,0.0000,-80.00,-48.00,3,150,SEARCHING
21.670,0.0200,0.0040,0.0000,-80.00,-48.00,3,150,SEARCHING
21.680,0.0160,0.0000,0.0080,-80.00,-48.00,3,150,SEARCHING
21.690,0.0080,0.0040,0.0000,-80.00,-48.00,3,150,SEARCHING
21.700,0.0440,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
21.710,0.0320,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
21.720,0.0120,0.0000,0.0120,-80.00,-48.00,3,150,SEARCHING
21.730,0.0080,0.0240,0.0040,-80.00,-48.00,3,150,SEARCHING
21.740,0.0160,0.0000,0.0160,-80.00,-48.00,3,150,SEARCHING
21.750,0.0200,0.0080,0.0160,-80.00,-48.00,3,150,SEARCHING
21.760,0.0120,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
21.770,0.0440,0.0240,0.0080,-80.00,-48.00,3,150,SEARCHING
21.780,0.0440,0.0000,0.0080,-80.00,-48.00,3,150,SEARCHING
21.790,0.0720,0.0080,0.0040,-80.00,-48.00,3,150,SEARCHING
21.800,0.0640,0.0000,0.0040,-80.00,-48.00,3,150,SEARCHING
21.810,0.0760,0.0000,0.0040,-80.00,-48.00,3,150,SEARCHING
21.820,0.0880,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
21.830,0.0880,0.0120,0.0160,-80.00,-48.00,3,150,SEARCHING
21.840,0.1240,0.0120,0.0000,-80.00,-48.00,3,150,SEARCHING
21.850,0.1360,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
21.860,0.1440,0.0000,0.0120,-84.62,-78.46,2,150,TURN_LEFT
21.870,0.2040,0.0040,0.0000,-98.08,-139.62,-89,150,TURN_LEFT
21.880,0.2440,0.0000,0.0000,-100.00,-71.54,13,150,TURN_LEFT
21.890,0.2800,0.0000,0.0000,-100.00,-60.00,30,150,TURN_LEFT
21.900,0.3240,0.0120,0.0000,-96.43,-36.43,65,150,TURN_LEFT
21.910,0.3760,0.0000,0.0000,-100.00,-81.43,-2,150,TURN_LEFT
21.920,0.4360,0.0000,0.0000,-100.00,-60.00,30,150,TURN_LEFT
21.930,0.4920,0.0240,0.0320,-83.94,45.99,150,61,TURN_LEFT
21.940,0.5720,0.0160,0.0040,-95.95,-129.59,-74,150,TURN_LEFT
21.950,0.6520,0.0080,0.0000,-98.79,-76.32,6,150,TURN_LEFT
21.960,0.6800,0.0160,0.0000,-97.70,-52.10,42,150,TURN_LEFT
21.970,0.7560,0.0000,0.0000,-100.00,-73.79,9,150,TURN_LEFT
21.980,0.8280,0.0000,0.0000,-100.00,-60.00,30,150,TURN_LEFT
21.990,0.8680,0.0000,0.0160,-96.38,-36.11,66,150,TURN_LEFT
22.000,0.9000,0.0000,0.0040,-99.12,-75.88,6,150,TURN_LEFT
22.010,0.9600,0.0080,0.0000,-99.17,-59.86,30,150,TURN_LEFT
22.020,0.9960,0.0080,0.0000,-99.20,-59.70,30,150,TURN_LEFT
22.030,0.9880,0.0320,0.0000,-96.86,-44.07,54,150,TURN_LEFT
22.040,0.9760,0.0360,0.0120,-94.14,-40.15,60,150,TURN_LEFT
22.050,0.9600,0.0280,0.0080,-95.58,-66.00,21,150,TURN_LEFT
22.060,0.9280,0.0680,0.0000,-93.17,-41.45,58,150,TURN_LEFT
22.070,0.8680,0.0800,0.0160,-88.38,-24.28,84,150,TURN_LEFT
22.080,0.7760,0.1400,0.0200,-80.77,-2.79,116,149,TURN_LEFT
22.090,0.7280,0.1560,0.0080,-80.72,-48.12,48,150,TURN_LEFT
22.100,0.6600,0.2240,0.0200,-70.80,17.05,146,113,TURN_LEFT
22.110,0.5360,0.2760,0.0000,-66.01,-10.89,104,150,TURN_LEFT
22.120,0.4800,0.3280,0.0000,-59.41,3.98,126,137,TURN_LEFT
22.130,0.4320,0.3880,0.0280,-47.64,42.00,150,68,TURN_LEFT
22.140,0.3560,0.4760,0.0120,-40.76,16.84,145,114,TURN_LEFT
22.150,0.3200,0.5280,0.0000,-37.74,-4.51,113,150,TURN_LEFT
22.160,0.2440,0.5680,0.0120,-28.16,40.59,150,71,TURN_LEFT
22.170,0.2240,0.6440,0.0000,-25.81,-1.39,118,147,TURN_LEFT
22.180,0.1800,0.6920,0.0000,-20.64,18.60,148,111,TURN_LEFT
22.190,0.1360,0.7680,0.0160,-13.04,37.77,150,76,TURN_LEFT
22.200,0.1480,0.8040,0.0160,-13.64,-11.74,102,150,TURN_LEFT
22.210,0.1040,0.8560,0.0040,-10.37,13.35,140,120,TURN_LEFT
22.220,0.1160,0.8800,0.0040,-11.20,-11.68,102,150,TURN_LEFT
22.230,0.0720,0.9080,0.0000,-7.35,18.71,148,110,STRAIGHT
22.240,0.0600,0.9280,0.0120,-4.80,12.40,139,122,STRAIGHT
22.250,0.0480,0.9600,0.0200,-2.72,10.82,136,125,STRAIGHT
22.260,0.0480,1.0000,0.0080,-3.79,-8.66,107,150,STRAIGHT
22.270,0.0400,0.9880,0.0240,-1.52,12.69,139,121,STRAIGHT
22.280,0.0320,0.9960,0.0440,1.12,16.51,145,114,STRAIGHT
22.290,0.0280,0.9920,0.0240,-0.38,-9.25,106,150,STRAIGHT
22.300,0.0240,0.9760,0.0440,1.92,14.94,142,117,STRAIGHT
22.310,0.0040,0.9720,0.0600,5.41,24.18,150,100,STRAIGHT
22.320,0.0200,0.9600,0.0680,4.58,-2.20,117,148,STRAIGHT
22.330,0.0120,0.9480,0.0600,4.71,3.58,125,138,STRAIGHT
22.340,0.0000,0.9040,0.0840,8.50,27.88,150,94,STRAIGHT
22.350,0.0000,0.9200,0.0840,8.37,4.21,126,136,STRAIGHT
22.360,0.0000,0.8600,0.0680,7.33,-1.84,117,147,STRAIGHT
22.370,0.0240,0.8720,0.1120,8.73,13.65,140,119,STRAIGHT
22.380,0.0040,0.8240,0.1240,12.61,30.81,150,89,TURN_RIGHT
22.390,0.0120,0.7880,0.1440,13.98,16.66,145,114,TURN_RIGHT
22.400,0.0000,0.7960,0.1400,14.96,14.82,142,117,TURN_RIGHT
22.410,0.0000,0.7720,0.1680,17.87,28.21,150,93,TURN_RIGHT
22.420,0.0120,0.7360,0.1480,15.18,-7.06,109,150,TURN_RIGHT
22.430,0.0080,0.7440,0.1600,16.67,18.93,148,110,TURN_RIGHT
22.440,0.0080,0.7160,0.1600,17.19,13.48,140,120,TURN_RIGHT
22.450,0.0000,0.7000,0.1800,20.45,31.83,150,87,TURN_RIGHT
22.460,0.0120,0.6960,0.1720,18.18,-2.73,116,149,TURN_RIGHT
22.470,0.0000,0.6800,0.2040,23.08,43.22,150,66,TURN_RIGHT
22.480,0.0040,0.6680,0.1880,21.40,2.75,124,139,TURN_RIGHT
22.490,0.0000,0.6920,0.2080,23.11,24.16,150,101,TURN_RIGHT
22.500,0.0000,0.6720,0.1840,21.50,3.20,125,138,TURN_RIGHT
22.510,0.0000,0.6760,0.1960,22.48,19.38,149,109,TURN_RIGHT
22.520,0.0000,0.6560,0.1760,21.15,4.75,127,135,TURN_RIGHT
22.530,0.0280,0.6920,0.2000,18.70,-3.53,115,150,TURN_RIGHT
22.540,0.0000,0.6760,0.2080,23.53,43.12,150,66,TURN_RIGHT
22.550,0.0000,0.6840,0.2080,23.32,12.72,139,121,TURN_RIGHT
22.560,0.0000,0.6840,0.1920,21.92,4.75,127,135,TURN_RIGHT
22.570,0.0080,0.6720,0.1680,18.87,-6.98,110,150,TURN_RIGHT
22.580,0.0000,0.6800,0.1800,20.93,24.93,150,99,TURN_RIGHT
22.590,0.0080,0.7000,0.1960,20.80,11.68,138,123,TURN_RIGHT
22.600,0.0000,0.7160,0.1760,19.73,5.45,128,134,TURN_RIGHT
22.610,0.0160,0.7240,0.1640,16.37,-10.33,105,150,TURN_RIGHT
22.620,0.0040,0.6920,0.1520,17.45,16.96,145,113,TURN_RIGHT
22.630,0.0200,0.7120,0.1480,14.55,-8.72,107,150,TURN_RIGHT
22.640,0.0120,0.7280,0.1680,17.18,26.12,150,97,TURN_RIGHT
22.650,0.0000,0.7480,0.1520,16.89,8.38,133,129,TURN_RIGHT
22.660,0.0000,0.7640,0.1320,14.73,-4.10,114,150,TURN_RIGHT
22.670,0.0080,0.7760,0.1320,13.54,0.95,121,142,TURN_RIGHT
22.680,0.0240,0.7600,0.1320,11.79,-3.41,115,150,TURN_RIGHT
22.690,0.0000,0.7960,0.1400,14.96,27.98,150,94,TURN_RIGHT
22.700,0.0160,0.7600,0.1320,12.78,-5.43,112,150,TURN_RIGHT
22.710,0.0120,0.7960,0.1080,10.48,-7.48,109,150,TURN_RIGHT
22.720,0.0040,0.7920,0.1080,11.50,13.05,140,121,TURN_RIGHT
22.730,0.0000,0.8120,0.1240,13.25,18.41,148,111,TURN_RIGHT
22.740,0.0000,0.8080,0.1120,12.17,0.86,121,142,TURN_RIGHT
22.750,0.0000,0.8480,0.1200,12.40,8.77,133,128,TURN_RIGHT
22.760,0.0000,0.8120,0.0840,9.38,-12.51,101,150,STRAIGHT
22.770,0.0000,0.8600,0.1120,11.52,19.80,150,108,TURN_RIGHT
22.780,0.0080,0.8360,0.0960,9.36,-7.35,109,150,STRAIGHT
22.790,0.0000,0.8840,0.0920,9.43,6.04,129,133,STRAIGHT
22.800,0.0000,0.8640,0.0840,8.86,1.92,123,141,STRAIGHT
22.810,0.0280,0.9160,0.0680,3.95,-27.08,79,150,STRAIGHT
22.820,0.0120,0.8920,0.0560,4.58,6.53,130,132,STRAIGHT
22.830,0.0120,0.9320,0.0840,7.00,18.73,148,110,STRAIGHT
22.840,0.0000,0.9080,0.0680,6.97,3.96,126,137,STRAIGHT
22.850,0.0160,0.9360,0.0560,3.97,-15.61,97,150,STRAIGHT
22.860,0.0040,0.9480,0.0480,4.40,5.23,128,135,STRAIGHT
22.870,0.0040,0.9280,0.0320,2.90,-7.23,109,150,STRAIGHT
22.880,0.0000,0.9200,0.0640,6.50,25.50,150,98,STRAIGHT
22.890,0.0120,0.9520,0.0520,3.94,-13.04,100,150,STRAIGHT
22.900,0.0120,0.9600,0.0360,2.38,-7.91,108,150,STRAIGHT
22.910,0.0080,0.9240,0.0560,4.86,17.78,147,112,STRAIGHT
22.920,0.0040,0.9760,0.0560,5.02,3.98,126,137,STRAIGHT
22.930,0.0200,0.9240,0.0600,3.98,-3.82,114,150,STRAIGHT
22.940,0.0160,0.9720,0.0400,2.33,-8.50,107,150,STRAIGHT
22.950,0.0040,0.9480,0.0400,3.63,9.94,135,126,STRAIGHT
22.960,0.0160,0.9800,0.0480,3.07,-1.54,118,147,STRAIGHT
22.970,0.0080,0.9600,0.0360,2.79,0.02,120,144,STRAIGHT
22.980,0.0280,0.9920,0.0360,0.76,-11.73,102,150,STRAIGHT
22.990,0.0360,0.9720,0.0120,-2.35,-20.07,90,150,STRAIGHT
23.000,0.0120,0.9960,0.0320,1.92,26.81,150,96,STRAIGHT
23.010,0.0240,0.9840,0.0200,-0.39,-14.11,99,150,STRAIGHT
23.020,0.0200,0.9880,0.0200,0.00,2.33,124,140,STRAIGHT
23.030,0.0600,0.9880,0.0240,-3.36,-22.16,87,150,STRAIGHT
23.040,0.0320,0.9920,0.0280,-0.38,17.64,146,112,STRAIGHT
23.050,0.0160,1.0000,0.0160,0.00,2.28,123,140,STRAIGHT
23.060,0.0200,0.9600,0.0280,0.79,5.24,128,135,STRAIGHT
23.070,0.0360,0.9920,0.0320,-0.38,-7.25,109,150,STRAIGHT
23.080,0.0360,0.9440,0.0280,-0.79,-2.97,116,149,STRAIGHT
23.090,0.0320,0.9920,0.0280,-0.38,2.25,123,140,STRAIGHT
23.100,0.0120,0.9680,0.0120,0.00,2.28,123,140,STRAIGHT
23.110,0.0280,1.0000,0.0080,-1.93,-12.74,101,150,STRAIGHT
23.120,0.0240,0.9640,0.0320,0.78,16.76,145,114,STRAIGHT
23.130,0.0160,1.0000,0.0200,0.39,-2.16,117,148,STRAIGHT
23.140,0.0280,0.9800,0.0080,-1.97,-15.31,97,150,STRAIGHT
23.150,0.0120,0.9840,0.0360,2.33,27.16,150,95,STRAIGHT
23.160,0.0000,0.9680,0.0120,1.22,-5.87,111,150,STRAIGHT
23.170,0.0360,0.9640,0.0280,-0.78,-12.48,101,150,STRAIGHT
23.180,0.0280,0.9920,0.0440,1.50,14.59,142,118,STRAIGHT
23.190,0.0480,1.0000,0.0000,-4.58,-39.25,61,150,STRAIGHT
23.200,0.0320,0.9760,0.0160,-1.56,17.17,146,113,STRAIGHT
23.210,0.0200,0.9760,0.0120,-0.79,4.14,126,137,STRAIGHT
23.220,0.0440,0.9920,0.0240,-1.89,-7.69,108,150,STRAIGHT
23.230,0.0360,0.9560,0.0160,-1.98,-1.77,117,147,STRAIGHT
23.240,0.0400,0.9680,0.0000,-3.97,-14.29,99,150,STRAIGHT
23.250,0.0280,0.9560,0.0000,-2.85,5.03,128,135,STRAIGHT
23.260,0.0440,0.9760,0.0000,-4.31,-11.40,103,150,STRAIGHT
23.270,0.0440,0.9480,0.0280,-1.57,15.53,143,116,STRAIGHT
23.280,0.0280,0.9960,0.0080,-1.94,-3.38,115,150,STRAIGHT
23.290,0.0280,0.9480,0.0120,-1.62,0.94,121,142,STRAIGHT
23.300,0.0480,0.9840,0.0120,-3.45,-13.04,100,150,STRAIGHT
23.310,0.0440,0.9520,0.0080,-3.59,-2.98,116,149,STRAIGHT
23.320,0.0320,0.9720,0.0120,-1.97,8.52,133,129,STRAIGHT
23.330,0.0560,0.9600,0.0240,-3.08,-8.50,107,150,STRAIGHT
23.340,0.0440,0.9800,0.0120,-3.09,-1.92,117,147,STRAIGHT
23.350,0.0240,0.9600,0.0320,0.79,23.73,150,101,STRAIGHT
23.360,0.0320,0.9680,0.0200,-1.18,-12.49,101,150,STRAIGHT
23.370,0.0520,0.9600,0.0280,-2.31,-8.17,108,150,STRAIGHT
23.380,0.0480,0.9720,0.0040,-4.30,-14.51,98,150,STRAIGHT
23.390,0.0520,0.9480,0.0080,-4.37,-3.03,115,149,STRAIGHT
23.400,0.0360,0.9960,0.0120,-2.30,11.02,137,124,STRAIGHT
23.410,0.0320,0.9640,0.0120,-1.98,0.70,121,143,STRAIGHT
23.420,0.0520,0.9720,0.0240,-2.67,-5.73,111,150,STRAIGHT
23.430,0.0360,0.9520,0.0040,-3.23,-5.26,112,150,STRAIGHT
23.440,0.0400,0.9920,0.0080,-3.08,-0.95,119,146,STRAIGHT
23.450,0.0560,0.9600,0.0200,-3.47,-4.47,113,150,STRAIGHT
23.460,0.0640,1.0000,0.0160,-4.44,-8.48,107,150,STRAIGHT
23.470,0.0360,0.9640,0.0080,-2.78,8.33,133,129,STRAIGHT
23.480,0.0320,0.9840,0.0280,-0.38,14.14,141,119,STRAIGHT
23.490,0.0360,0.9600,0.0320,-0.39,-0.27,120,144,STRAIGHT
23.500,0.0440,0.9880,0.0240,-1.89,-10.17,105,150,STRAIGHT
23.510,0.0440,0.9520,0.0160,-2.77,-6.90,110,150,STRAIGHT
23.520,0.0320,0.9920,0.0240,-0.76,11.56,137,123,STRAIGHT
23.530,0.0400,0.9640,0.0280,-1.16,-3.09,115,150,STRAIGHT
23.540,0.0440,1.0000,0.0200,-2.26,-7.91,108,150,STRAIGHT
23.550,0.0240,0.9760,0.0200,-0.39,10.95,136,124,STRAIGHT
23.560,0.0320,0.9800,0.0360,0.38,4.87,127,135,STRAIGHT
23.570,0.0200,1.0000,0.0200,0.00,-2.29,117,148,STRAIGHT
23.580,0.0200,0.9960,0.0040,-1.57,-10.35,104,150,STRAIGHT
23.590,0.0520,0.9920,0.0200,-3.01,-10.44,104,150,STRAIGHT
23.600,0.0240,0.9840,0.0000,-2.38,2.33,123,140,STRAIGHT
23.610,0.0160,1.0000,0.0200,0.39,16.83,145,114,STRAIGHT
23.620,0.0160,0.9760,0.0240,0.79,2.88,124,139,STRAIGHT
23.630,0.0400,1.0000,0.0240,-1.50,-14.65,98,150,STRAIGHT
23.640,0.0320,0.9640,0.0320,0.00,9.02,134,128,STRAIGHT
23.650,0.0160,0.9880,0.0280,1.16,7.67,132,130,STRAIGHT
23.660,0.0280,1.0000,0.0480,1.86,5.29,128,134,STRAIGHT
23.670,0.0360,0.9680,0.0120,-2.36,-26.74,80,150,STRAIGHT
23.680,0.0240,1.0000,0.0080,-1.55,3.94,126,137,STRAIGHT
23.690,0.0440,0.9640,0.0440,0.00,9.30,134,127,STRAIGHT
23.700,0.0320,0.9960,0.0000,-3.11,-20.54,89,150,STRAIGHT
23.710,0.0440,0.9680,0.0000,-4.35,-10.02,105,150,STRAIGHT
23.720,0.0400,1.0000,0.0120,-2.66,8.52,133,129,STRAIGHT
23.730,0.0320,1.0000,0.0160,-1.53,5.89,129,133,STRAIGHT
23.740,0.0280,0.9800,0.0040,-2.37,-6.49,110,150,STRAIGHT
23.750,0.0360,1.0000,0.0120,-2.29,-0.89,119,146,STRAIGHT
23.760,0.0320,0.9880,0.0280,-0.38,11.22,137,124,STRAIGHT
23.770,0.0280,0.9880,0.0280,0.00,2.29,123,140,STRAIGHT
23.780,0.0280,0.9960,0.0360,0.75,4.98,127,135,STRAIGHT
23.790,0.0320,0.9800,0.0400,0.76,0.49,121,143,STRAIGHT
23.800,0.0240,0.9840,0.0520,2.64,12.87,139,121,STRAIGHT
23.810,0.0360,1.0000,0.0200,-1.52,-25.85,81,150,STRAIGHT
